"","0","numtombo","1","familia","2","genero","3","sp","4","autorsp","5","taxoncompleto","6","pais","7","estado_prov","8","cidade","9","10","latitude","11","longitude","12","numcoleta","13","diacoleta","14","mescoleta","15","anocoleta"
"1",360308,360308,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio Grande do Norte,Rio Grande do Norte,Natal,Natal,Brasil,-5.81667,-5.81667,-35.20000,-35.20000,960157,960157,8,8,11,11,1996,1996
"2",5634,5634,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80472,-22.80472,-41.96250,-41.96250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3",612256,612256,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80639,-22.80639,-41.96056,-41.96056,7923,7923,5,5,11,11,2014,2014
"4",612186,612186,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.06194,-15.06194,-40.67806,-40.67806,7894,7894,1,1,11,11,2014,2014
"5",470046,470046,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Alagoas,Alagoas,Coruripe,Coruripe,Brasil,-10.02667,-10.02667,-36.29861,-36.29861,6962,6962,29,29,7,7,2008,2008
"6",3068,3068,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Alagoas,Alagoas,Coruripe,Coruripe,Brasil,-10.32806,-10.32806,-36.49389,-36.49389,6951,6951,28,28,7,7,2008,2008
"7",5642,5642,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21278,-14.21278,-39.55333,-39.55333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8",464329,464329,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,Aracruz,Aracruz,Brasil,-19.67528,-19.67528,-40.15111,-40.15111,6878,6878,2,2,4,4,2008,2008
"9",5647,5647,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.26056,-14.26056,-39.42222,-39.42222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10",5712,5712,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15444,-40.15444,NULL,NULL,11,11,8,8,2012,2012
"11",5620,5620,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.88278,-22.88278,-42.00000,-42.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12",5695,5695,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67833,-19.67833,-40.15250,-40.15250,NULL,NULL,11,11,8,8,2012,2012
"13",5655,5655,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.25639,-14.25639,-39.42722,-39.42722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
