"","Longitude","Latitude"
"1",-41.2075,-11.59167
"2",-41.37528,-13.07722
"3",-41.28167,-13.22778
"4",-41.1925,-11.44
"5",-41.21167,-11.5975
"7",-41.36667,-13
"12",-41.07972,-11.6175
"13",-41.3,-12.68333
"15",-41.19417,-11.44
"17",-41.19389,-11.43833
"18",-41.19389,-11.43806
"19",-41.38333,-12.56667
"20",-41.34139,-12.99222
"21",-41.16333,-11.59778
"23",-41.33333,-12.33333
"25",-41.00139,-11.63583
"27",-41.20917,-11.58861
"30",-41.19194,-11.58417
"32",-41.34139,-12.99333
"33",-41.00083,-11.62333
"36",-41.1558252067773,-11.5539317677047
"38",-41.31667,-12.98333
"39",-41.00139,-11.62778
"42",-41.38,-13.23
"43",-41.4,-13.2
"44",-41.38333,-13.23333
"46",-41.2,-11.58333
"49",-41.38528,-13
"51",-41.3853,-13
"52",-41.38333,-13
"53",-41.385,-13
"66",-41.33333,-11.63333
"75",-41.03333,-11.63333
"76",-37.68667,-20.19306
"78",-40.91667,-11.63333
"94",-41.156,-11.5504
