"","Longitude","Latitude"
"1",-65.4,-10.3833
"2",-65.3833,-10.3833
"3",-65.1333,-16.8
"4",-63.6667,-17.45
"5",-63.85,-17.4
"6",-64.4167,-16
"7",-63.1667,-17.8
"8",-56.7333,-2.6
"9",-59.1333,-3.7
"10",-60.0833,-3.1333
"11",-64.8333,-0.5167
"12",-60.0167,-3.1333
"13",-62.0833,-3.8333
"14",-40.0667,-19.3333
"15",-52.6667,-3.8333
"16",-49.5,-1
"17",-55.55,-1.9167
"18",-52.2,-1.7
"19",-54.9833,-2.75
"20",-55.5,-3.6667
"21",-55.1333,-2.8333
"22",-55,-2.4333
"23",-54.7,-2.4333
"24",-55.1,-3.0833
"25",-55.2833,-3.45
"26",-49.6833,-2.6833
"27",-49.5,-2.25
"28",-49.5,-2.5833
"29",-46.7333,-23.45
"30",-69.95,-4.15
"31",-76.2667,7.0167
"32",-75.5833,6.25
"33",-76.7167,8.1
"34",-75.05,7.35
"35",-75.0667,9.9667
"36",-74,10.3
"37",-73.4333,10.15
"38",-76.6833,5.1
"39",-77.7667,7.1167
"40",-76.6667,5.7
"41",-76.95,5.05
"42",-77.1667,7.6667
"43",-77.1167,8.0167
"44",-75.6833,8.2833
"45",-74.7333,9.1167
"46",-76.2833,7.85
"47",-74.3,4.5833
"48",-67.9333,3.8667
"49",-71.3167,12.35
"50",-73.6167,4.15
"51",-78.15,1.6833
"52",-72.5833,8.5
"53",-72.5167,7.9
"54",-74.7667,-0.2
"55",-75.3333,0.4667
"56",-73.9167,7.1667
"57",-75.4,9.3
"58",-75.35,9.5
"59",-76.9333,4
"60",-77.0833,3.6833
"61",-84.5,10.3333
"62",-83.6333,9.8833
"63",-84.0167,10.6333
"64",-83.5667,9.9167
"65",-83.4667,8.95
"66",-79.65,-3.7167
"67",-79.4667,0.3333
"68",-79.75,-1.5333
"69",-79.6,-0.4667
"70",-77.1333,-0.7
"71",-77.95,-1.4833
"72",-79.15,-0.25
"73",-85.9333,13.1833
"74",-83.7,10.9333
"75",-84.5333,13.95
"76",-84.4333,12.15
"77",-83.7667,12.15
"78",-82.4,9.3
"79",-82.5167,9.45
"80",-81.8,8.9333
"81",-82.7833,9.6
"82",-82.25,9.1833
"83",-79.8167,9.1667
"84",-79.9333,9.25
"85",-79.9833,9.25
"86",-79.9,9.2167
"87",-79.6,9.2833
"88",-77.3,8.1667
"89",-77.6,8
"90",-77.75,8.1
"91",-77.7333,8.1333
"92",-78.3667,7.9667
"93",-77.4333,7.9833
"94",-79.5833,8.95
"95",-79.85,9.15
"96",-79.35,9.2333
"97",-79.8,8.8667
"98",-79.6,8.9
"99",-77.1167,-4.65
"100",-74.0833,-2.3667
"101",-73.25,-3.7667
"102",-74.2167,-4.8333
"103",-72.1,-3.3167
"104",-72.1333,-3.4333
"105",-73.05,-3.4667
"106",-74.2167,-4.7
"107",-75.1,-6.7333
"108",-76.05,-5.8333
"109",-74.5333,-8.3833
"110",-65.55,3.1667
"111",-65.9167,3.0833
"112",-66.2167,5.3
"113",-67.6833,10.3667
"114",-68.3833,10.5333
"115",-66.8333,10.3667
"116",-72.6,9.15
