"","Longitude","Latitude"
"1",-41.2075,-11.59167
"2",-41.37528,-13.07722
"3",-41.28167,-13.22778
"4",-41.1925,-11.44
"5",-41.21167,-11.5975
"7",-41.36667,-13
"8",0,0
"12",-41.37278,-13.01306
"13",-41.07972,-11.6175
"14",-41.3,-12.68333
"16",-41.19389,-11.43833
"17",-41.19417,-11.44
"19",-41.19389,-11.43806
"20",-41.38333,-12.56667
"21",-41.34139,-12.99222
"22",-43.81778,-21.71028
"23",-41.16333,-11.59778
"25",-41.33333,-12.33333
"26",-41.00139,-11.63583
"29",-41.20917,-11.58861
"32",-41.19194,-11.58417
"34",-41.34139,-12.99333
"35",-41.00083,-11.62333
"38",-41.1558252067773,-11.5539317677047
"40",-41.31667,-12.98333
"41",-41.00139,-11.62778
"46",-41.38,-13.23
"47",-41.38333,-13.23333
"49",-41.2,-11.58333
"53",-41.38528,-13
"55",-41.3853,-13
"56",-41.38333,-13
"62",-41.11667,-11.45
"73",-41.03333,-11.63333
"76",-37.68667,-20.19306
"77",-41.33333,-11.63333
"85",-40.91667,-11.63333
"86",-40.92917,-11.64278
"88",-41.4,-13
"114",-39.73333,-14.11667
"116",-52.8731,-10.8339
"118",-41.18472,-11.62778
"126",-41.33333,-12.96667
"127",-41.0014,-11.62
