"","Longitude","Latitude"
"1",-37.05411,-10.89216
"3",-39.535,-15.15833
"8",-43.16278,-22.96389
"9",-43.16139,-22.96389
"13",-39.56989,-13.74228
"14",-39.58444,-15.73889
"16",-40.68,-15.06056
"17",-41.98278,-22.80472
"20",-40.15,-19.67667
"21",-41.96056,-22.80639
"26",-39.96667,-16.61667
"27",-40.67806,-15.06194
"28",-45.46011,-22.42378
"34",-37.05719,-10.53178
"35",-37.14019,-10.84467
"37",-39,-14.1
"38",-43.59817,-18.24002
"41",-34.96861,-8.07861
"42",-39.73333,-14.56667
"43",-39.73694,-14.57583
"44",-35.135,-6.96028
"46",-42.46111,-22.92861
"47",-39.73333,-14.65
"50",-35.135,-6.9603
"51",-39.73694,-14.57694
"52",-39.73722,-14.57806
"53",-39.73833,-14.57583
"56",-35.14,-6.96028
"58",-42.46139,-22.92917
"61",-39.73833,-14.57528
"63",-39.73583,-14.65889
"64",-40.14722,-19.05694
"67",-39.5525,-14.21333
"68",-43.07278,-22.83222
"69",-39.55333,-14.2125
"71",-39.55222,-14.21389
"74",-39.62917,-15.56417
"75",-39.56722,-15.71278
"76",-39.575,-15.20333
"87",-39.17083,-14.79472
"88",-34.9769,-6.5022
"89",-34.97694,-6.50222
"93",-40.11428,-19.59156
"95",-34.97583,-8.07667
"97",-40.15028,-19.67583
"98",-39.20222,-16.41917
